dataname	type	hierarchy_level	satellite_order	satellite_of	smallplanet_color	orbit_color	diameter_km	shape	mass_kg	gravity_at_surface	semi_major_axis	orbital_period_days	inclination_degrees	eccentricity	rotaton_period_days	discovered_year	athmospheric_surface_pressure_pa	athmospheric_nitrogen	athmospheric_oxygen	athmospheric_carbondioxide	athmospheric_helium	athmospheric_hydrogen	ground_coal	ground_ice	ground_iron	ground_fossil fuel	ground_silicium	ground_nuclear fuel	picture_ready	notes	copyright
greip	moon	2	36	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	18065700	-906.56	172.666	0.005741689	-906.56	2006	0	0	0	0	0	0	0	0.029847142	0.383275645	0	0.150888189	0.497176477	NA	NA	NA
hyrrokkin	moon	2	37	saturn	50 50 50	50 50 50	8	sphere	388697247706422000	0.1654338490	18168300	-914.29	153.272	0.034879765	-914.29	2006	0	0	0	0	0	0	0	0.045096633	0.029048131	0	0.116088205	0.177569498	NA	NA	NA
jarnsaxa	moon	2	38	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	18556900	-943.78	162.861	0.033463559	-943.78	2006	0	0	0	0	0	0	0	0.043035387	0.912065988	0	0.654562141	0.234229358	NA	NA	NA
tarvos	moon	2	39	saturn	50 50 50	50 50 50	15	sphere	728807339449541000	0.0882313862	18562800	944.23	34.679	0.079901598	944.23	2000	0	0	0	0	0	0	0	0.051842391	0.560399903	0	0.720563217	0.792224467	NA	NA	NA
mundilfari	moon	2	40	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	18725800	-956.7	169.378	0.096451049	-956.7	2000	0	0	0	0	0	0	0	0.048234959	0.214148468	0	0.136639835	0.123398552	NA	NA	NA
s2006s1	moon	2	41	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	18930200	-972.41	154.232	0.025157237	-972.41	2006	0	0	0	0	0	0	0	0.033270811	0.480186279	0	0.663075788	0.762294456	NA	NA	NA
s2004s17	moon	2	42	saturn	50 50 50	50 50 50	4	sphere	194348623853211000	0.3308676981	19099200	-985.45	166.881	0.03560508	-985.45	2004	0	0	0	0	0	0	0	0.029650671	0.624292474	0	0.992577042	0.714114417	NA	NA	NA
bergelmir	moon	2	43	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	19104000	-985.83	157.384	0.004010894	-985.83	2004	0	0	0	0	0	0	0	0.034343904	0.312058934	0	0.767071545	0.233673176	NA	NA	NA
narvi	moon	2	44	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	19395200	-1008.45	137.292	0.005411964	-1008.45	2003	0	0	0	0	0	0	0	0.040975158	0.679125889	0	0.746787788	0.399292307	NA	NA	NA
suttungr	moon	2	45	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	19579000	-1022.82	174.321	0.095967305	-1022.82	2000	0	0	0	0	0	0	0	0.040811095	0.321797761	0	0.202962258	0.751566839	NA	NA	NA
hati	moon	2	46	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	19709300	-1033.05	163.131	0.082077961	-1033.05	2004	0	0	0	0	0	0	0	0.03157916	0.134828448	0	0.172870953	0.319288702	NA	NA	NA
s2004s12	moon	2	47	saturn	50 50 50	50 50 50	5	sphere	242935779816514000	0.2646941585	19905900	-1048.54	164.042	0.057203331	-1048.54	2004	0	0	0	0	0	0	0	0.050948373	0.869548504	0	0.155736059	0.081384386	NA	NA	NA
farbauti	moon	2	48	saturn	50 50 50	50 50 50	5	sphere	242935779816514000	0.2646941585	19984800	-1054.78	158.361	0.0683416	-1054.78	2004	0	0	0	0	0	0	0	0.044436438	0.771949566	0	0.474289833	0.214176353	NA	NA	NA
thrymr	moon	2	49	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	20278100	-1078.09	174.524	0.002476072	-1078.09	2000	0	0	0	0	0	0	0	0.039586336	0.126771012	0	0.443462506	0.729951855	NA	NA	NA
aegir	moon	2	50	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	20482900	-1094.46	167.425	0.087173048	-1094.46	2004	0	0	0	0	0	0	0	0.057137272	0.011436806	0	0.426765074	0.5844415	NA	NA	NA
s2007s3	moon	2	51	saturn	50 50 50	50 50 50	5	sphere	242935779816514000	0.2646941585	20518500	-1100	177.220	0.059208782	-1100	2007	0	0	0	0	0	0	0	0.033038762	0.61099796	0	0.326356395	0.918268797	NA	NA	NA
bestla	moon	2	52	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	20570000	-1101.45	147.395	0.063283582	-1101.45	2004	0	0	0	0	0	0	0	0.045623812	0.87718288	0	0.215538604	0.037716868	NA	NA	NA
s2004s7	moon	2	53	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	20576700	-1101.99	165.596	0.054716095	-1101.99	2004	0	0	0	0	0	0	0	0.030363696	0.183635103	0	0.201972325	0.664041713	NA	NA	NA
s2006s3	moon	2	54	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	21076300	-1142.37	150.817	0.094462124	-1142.37	2006	0	0	0	0	0	0	0	0.038747933	0.285727314	0	0.102078108	0.021895064	NA	NA	NA
fenrir	moon	2	55	saturn	50 50 50	50 50 50	4	sphere	194348623853211000	0.3308676981	21930644	-1212.53	162.832	0.022894906	-1212.53	2004	0	0	0	0	0	0	0	0.039321783	0.571453133	0	0.980593711	0.568360414	NA	NA	NA
surtur	moon	2	56	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	22288916	-1242.36	166.918	0.007506827	-1242.36	2006	0	0	0	0	0	0	0	0.044433817	0.65897077	0	0.751825117	0.571161628	NA	NA	NA
kari	moon	2	57	saturn	50 50 50	50 50 50	7	sphere	340110091743119000	0.1890672561	22321200	-1245.06	148.384	0.084378568	-1245.06	2006	0	0	0	0	0	0	0	0.042498173	0.586775588	0	0.889916282	0.601084472	NA	NA	NA
ymir	moon	2	58	saturn	50 50 50	50 50 50	18	sphere	874568807339450000	0.0735261551	22429673	-1254.15	172.143	0.00383486	-1254.15	2000	0	0	0	0	0	0	0	0.040369856	0.32701466	0	0.423399366	0.764259478	NA	NA	NA
loge	moon	2	59	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	22984322	-1300.95	166.539	0.017839078	-1300.95	2006	0	0	0	0	0	0	0	0.047209332	0.509461611	0	0.531752495	0.519842424	NA	NA	NA
fornjot	moon	2	60	saturn	50 50 50	50 50 50	6	sphere	291522935779817000	0.2205784654	24504879	-1432.16	167.886	0.097707011	-1432.16	2004	0	0	0	0	0	0	0	0.539517966	0.057643022	0	0.490832486	0.734837906	NA	NA	NA
uranus	gasplanet	1	7	sun	30 144 255	100 100 100	51113	sphere	87214560000000000000000000	0.9093146141	2875271398	30663.65	6.480	0.047	-0.72	1781	1013000	0	0	0	151950	840790	0	0.001488095	0.048950669	0	0.156292967	0.931997811	ok	Would benefit a lot from shading	NA
cordelia	moon	2	1	uranus	50 50 50	50 50 50	42	sphere	50000000000000000	0.0007720836	49751	0.335034	0.085	0.074784045	0.335034	1986	0	0	0	0	0	0	0	0.002550192	0.33035777	0	0.208795304	0.521695053	NA	NA	NA
ophelia	moon	2	2	uranus	50 50 50	50 50 50	46	sphere	51000000000000000	0.0006565191	53764	0.3764	0.104	0.033750853	0.3764	1986	0	0	0	0	0	0	0	0.002630732	0.228827987	0	0.414773548	0.902310061	NA	NA	NA
bianca	moon	2	3	uranus	50 50 50	50 50 50	54	sphere	92000000000000000	0.0008593957	59165	0.434579	0.193	0.081939294	0.434579	1986	0	0	0	0	0	0	0	0.001762466	0.919564903	0	0.889329272	0.819205451	NA	NA	NA
cressida	moon	2	4	uranus	50 50 50	50 50 50	82	sphere	340000000000000000	0.0013773493	61766	0.46357	0.006	0.011486372	0.46357	1986	0	0	0	0	0	0	0	0.002886613	0.427324226	0	0.119502007	0.641361221	NA	NA	NA
desdemona	moon	2	5	uranus	50 50 50	50 50 50	68	sphere	230000000000000000	0.0013548864	62658	0.47365	0.111	0.014657236	0.47365	1986	0	0	0	0	0	0	0	0.002047487	0.361826726	0	0.634022002	0.502788046	NA	NA	NA
juliet	moon	2	6	uranus	50 50 50	50 50 50	106	sphere	820000000000000000	0.0019879022	64360	0.493065	0.065	0.07350178	0.493065	1986	0	0	0	0	0	0	0	0.002514609	0.688720945	0	0.13422348	0.336922769	NA	NA	NA
portia	moon	2	7	uranus	50 50 50	50 50 50	140	sphere	1700000000000000000	0.0023625757	66097	0.513196	0.059	0.035990719	0.513196	1986	0	0	0	0	0	0	0	0.002362111	0.616920371	0	0.242237299	0.848772675	NA	NA	NA
rosalind	moon	2	8	uranus	50 50 50	50 50 50	72	sphere	250000000000000000	0.0013136144	69927	0.55846	0.279	0.072938843	0.55846	1986	0	0	0	0	0	0	0	0.003202903	0.244042008	0	0.772158071	0.360958665	NA	NA	NA
cupid	moon	2	9	uranus	50 50 50	50 50 50	18	sphere	3800000000000000	0.0003194710	74800	0.618	0.100	0.001883905	0.618	2003	0	0	0	0	0	0	0	0.003301915	0.037278015	0	0.34436119	0.590335504	NA	NA	NA
belinda	moon	2	10	uranus	50 50 50	50 50 50	90	sphere	490000000000000000	0.0016477979	75255	0.623527	0.031	0.001987507	0.623527	1986	0	0	0	0	0	0	0	0.002929763	0.449232827	0	0.865110482	0.581352214	NA	NA	NA
perdita	moon	2	11	uranus	50 50 50	50 50 50	30	sphere	18000000000000000	0.0005447822	76420	0.638	0.000	0.030766436	0.638	1986	0	0	0	0	0	0	0	0.00376944	0.139087594	0	0.514253053	0.592046966	NA	NA	NA
puck	moon	2	12	uranus	50 50 50	50 50 50	162	sphere	2900000000000000000	0.0030099609	86004	0.761833	0.319	0.050393628	0.761833	1985	0	0	0	0	0	0	0	0.002174107	0.142137318	0	0.277216091	0.080285324	NA	NA	NA
mab	moon	2	13	uranus	50 50 50	50 50 50	25	sphere	10000000000000000	0.0004358257	97734	0.923	0.134	0.042335585	0.923	2003	0	0	0	0	0	0	0	0.003487456	0.404367014	0	0.950250832	0.13161474	NA	NA	NA
miranda	moon	2	14	uranus	120 120 120	50 50 50	471	sphere	66000000000000000000	0.0081039174	129390	1.413479	4.232	0.033012665	1.413479	1948	0	0	0	0	0	0	0	0.005069103	0.576122065	0	0.809098677	0.195649171	NA	Looks ok	NA
ariel	moon	2	15	uranus	140 140 140	50 50 50	1157	sphere	1350000000000000000000	0.0274700806	191020	2.520379	0.260	0.066796852	2.520379	1851	0	0	0	0	0	0	0	0.005766786	0.914049567	0	0.042855618	0.044486086	NA	Looks ok	NA
umbriel	moon	2	16	uranus	140 140 140	50 50 50	1169	sphere	1170000000000000000000	0.0233211371	266300	4.144177	0.205	0.072146841	4.144177	1851	0	0	0	0	0	0	0	0.007235376	0.376286593	0	0.57304023	0.478024551	NA	Looks nice	NA
titania	moon	2	17	uranus	140 140 140	50 50 50	1577	sphere	3350000000000000000000	0.0366922466	435910	8.705872	0.340	0.02016059	8.705872	1787	0	0	0	0	0	0	0	0.009039183	0.09447471	0	0.263604447	0.483996828	NA	Looks ok	NA
oberon	moon	2	18	uranus	50 50 50	50 50 50	1522	sphere	3000000000000000000000	0.0352764466	583520	13.463239	0.058	0.088139947	13.463239	1787	0	0	0	0	0	0	0	0.018991143	0.797566556	0	0.503878237	0.921678569	NA	Had the picture, but decided to remove it because it would take too much work to finish	NA
francisco	moon	2	19	uranus	50 50 50	50 50 50	22	sphere	7200000000000000	0.0004052099	4276000	-266.56	147.459	0.02817885	-266.56	2001	0	0	0	0	0	0	0	0.031225725	0.856025936	0	0.802415346	0.573507016	NA	NA	NA
caliban	moon	2	20	uranus	50 50 50	50 50 50	72	sphere	250000000000000000	0.0013136144	7231000	-579.73	139.885	0.001130784	-579.73	1997	0	0	0	0	0	0	0	0.019932616	0.348551451	0	0.485971521	0.339763054	NA	NA	NA
stephano	moon	2	21	uranus	50 50 50	50 50 50	32	sphere	22000000000000000	0.0005852152	8004000	-677.37	141.873	0.032706316	-677.37	1999	0	0	0	0	0	0	0	0.02169986	0.983404106	0	0.44716968	0.276621699	NA	NA	NA
trinculo	moon	2	22	uranus	50 50 50	50 50 50	18	sphere	3900000000000000	0.0003278782	8504000	-749.24	166.252	0.095198593	-749.24	2001	0	0	0	0	0	0	0	0.033724768	0.848231676	0	0.935182848	0.074970195	NA	NA	NA
sycorax	moon	2	23	uranus	50 50 50	50 50 50	150	sphere	23000000000000000	0.0000278444	12179000	-1288.28	152.456	0.008449198	-1288.28	1997	0	0	0	0	0	0	0	0.044251006	0.3359476	0	0.20321976	0.871283879	NA	NA	NA
margaret	moon	2	24	uranus	50 50 50	50 50 50	20	sphere	5400000000000000	0.0003677280	14345000	1687.01	51.455	0.081144804	1687.01	2003	0	0	0	0	0	0	0	0.049381817	0.173419466	0	0.667371919	0.291740703	NA	NA	NA
prospero	moon	2	25	uranus	50 50 50	50 50 50	50	sphere	85000000000000000	0.0009261297	16256000	-1978.29	146.017	0.029078947	-1978.29	1999	0	0	0	0	0	0	0	0.053434809	0.29762739	0	0.137097339	0.843953023	NA	NA	NA
setebos	moon	2	26	uranus	50 50 50	50 50 50	48	sphere	75000000000000000	0.0008866897	17418000	-2225.21	145.883	0.09957877	-2225.21	1999	0	0	0	0	0	0	0	0.048748912	0.08188265	0	0.422074789	0.167752516	NA	NA	NA
ferdinand	moon	2	27	uranus	50 50 50	50 50 50	20	sphere	5400000000000000	0.0003677280	20901000	-2887.21	167.346	0.011529259	-2887.21	2001	0	0	0	0	0	0	0	0.481496964	0.757907735	0	0.205166182	0.554427875	NA	NA	NA
neptune	gasplanet	1	8	sun	30 144 255	100 100 100	49532	sphere	102745920000000000000000000	1.1407583748	4496912498	60152	6.430	0.0112	60152	1846	1013000	0	0	0	192470	810400	0	0.00284415	0.928303785	0	0.117852587	0.012577187	ok	Would benefit a lot from shading	NA
naiad	moon	2	1	neptune	50 50 50	50 50 50	67	iregular	190000000000000000	0.0011529139	48227	0.294	4.700	0.090074294	0.294	1989	0	0	0	0	0	0	0	0.001531846	0.921032828	0	0.928263296	0.755641876	NA	NA	NA
thalassa	moon	2	2	neptune	50 50 50	50 50 50	83	iregular	350000000000000000	0.0013839001	50075	0.311	0.200	0.037661191	0.311	1989	0	0	0	0	0	0	0	0.002078163	0.42725504	0	0.657957395	0.594579083	NA	NA	NA
despina	moon	2	3	neptune	50 50 50	50 50 50	152	iregular	2100000000000000000	0.0024758538	52526	0.335	0.100	0.09316923	0.335	1989	0	0	0	0	0	0	0	0.001689752	0.909863481	0	0.476572977	0.970389715	NA	NA	NA
galatea	moon	2	4	neptune	50 50 50	50 50 50	175	iregular	2120000000000000000	0.0018856134	61953	0.429	0.100	0.083617367	0.429	1989	0	0	0	0	0	0	0	0.002192448	0.672895077	0	0.240452315	0.68333025	NA	NA	NA
larissa	moon	2	5	neptune	50 50 50	50 50 50	195	iregular	4200000000000000000	0.0030086589	73548	0.555	0.200	0.06240118	0.555	1981	0	0	0	0	0	0	0	0.003039276	0.351153209	0	0.76237956	0.291045434	NA	NA	NA
proteus	moon	2	6	neptune	50 50 50	50 50 50	418	iregular	44000000000000000000	0.0068595085	117647	1.122	0.600	0.067839788	1.122	1989	0	0	0	0	0	0	0	0.00561495	0.159748634	0	0.864748507	0.534937212	NA	NA	NA
triton	moon	2	7	neptune	204 204 204	50 50 50	2707	sphere	21400000000000000000000	0.0795481611	354800	-5.877	156.800	0.029783587	-5.877	1846	0	0	0	0	0	0	0	0.020588778	0.451275481	0	0.143554863	0.743490934	NA	Looks ok	NA
nereid	moon	2	8	neptune	50 50 50	50 50 50	340	sphere	22000000000000000000	0.0051839133	5513400	360.14	27.600	0.047742046	360.14	1949	0	0	0	0	0	0	0	0.0510513	0.967910148	0	0.462529543	0.480980677	NA	NA	NA
halimede	moon	2	9	neptune	50 50 50	50 50 50	60	sphere	90000000000000000	0.0006809777	15728000	-1879.71	0.005	0.019001544	-1879.71	2002	0	0	0	0	0	0	0	0.040940569	0.106220276	0	0.813507246	0.626000807	NA	NA	NA
sao	moon	2	10	neptune	50 50 50	50 50 50	38	sphere	90000000000000000	0.0016977283	22422000	2914.07	0.008	0.013460104	2914.07	2002	0	0	0	0	0	0	0	0.056497343	0.561749106	0	0.836422535	0.876710395	NA	NA	NA
laomedeia	moon	2	11	neptune	50 50 50	50 50 50	38	sphere	90000000000000000	0.0016977283	23571000	3167.85	0.033	0.066214132	3167.85	2002	0	0	0	0	0	0	0	0.082420011	0.680541232	0	0.203785367	0.83219085	NA	NA	NA
psamathe	moon	2	12	neptune	50 50 50	50 50 50	28	sphere	15000000000000000	0.0005211564	46695000	-9115.91	0.068	0.099141945	-9115.91	2003	0	0	0	0	0	0	0	0.067643309	0.755778171	0	0.332341595	0.457528879	NA	NA	NA
neso	moon	2	13	neptune	50 50 50	50 50 50	60	sphere	90000000000000000	0.0006809777	48387000	-9373.99	0.012	0.098033047	-9373.99	2002	0	0	0	0	0	0	0	0.7449291	0.384243383	0	0.379708147	0.606513228	NA	NA	NA
pluto	dwarf planet	1	NA	sun	143 143 143	50 50 50	2390	sphere	13050000000000000000000	0.0622311165	5906376272	90613	17.140	0.2	6.38	1930	1013000	1013000	0	0	0	0	0	0.259176053	0.67964962	0	0.884519388	0.086518618	NA	Looks very nice	NA
ceres	dwarf planet	1	NA	sun	50 50 50	50 50 50	950	sphere	942000000000000000000	0.0284312906	414703838	1679	10.580	0.1	0.3781	1801	0	0	0	0	0	0	0	0.12767047	0.586929114	0	0.36168543	0.981904195	NA	NA	NA
vesta	main belt asteroid	1	NA	sun	50 50 50	50 50 50	531	iregular	25799779816513800000	0.0024924120	353200612	1325	7.100	0.1	0.222	1807	0	0	0	0	0	0	0	0.197864069	0.324438126	0	0.245549796	0.644173997	NA	NA	NA
pallas	main belt asteroid	1	NA	sun	50 50 50	50 50 50	531	iregular	25799779816513800000	0.0024924120	414834942	1686	34.841	0.2	0.3255	1802	0	0	0	0	0	0	0	0.213013168	0.045421908	0	0.895701304	0.680516835	NA	NA	NA
hygiea	main belt asteroid	1	NA	sun	50 50 50	50 50 50	407	iregular	19774972477064200000	0.0032517710	469288573	1670	9.339	0.10	0.24	1849	0	0	0	0	0	0	0	0.228095179	0.611963302	0	0.81737984	0.1416893	NA	NA	NA
davida	main belt asteroid	1	NA	sun	50 50 50	50 50 50	326	iregular	15839412844036700000	0.0040597264	474225303	1514	26.070	0.19	0.24	1903	0	0	0	0	0	0	0	0.165723031	0.537788193	0	0.826332461	0.316177903	NA	NA	NA
interamnia	main belt asteroid	1	NA	sun	50 50 50	50 50 50	317	iregular	15402128440367000000	0.0041749867	458816721	1328	17.706	0.11	0.28	1910	0	0	0	0	0	0	0	0.16535747	0.739923952	0	0.667834352	0.315703012	NA	NA	NA
sylvia	main belt asteroid	1	NA	sun	50 50 50	50 50 50	286	iregular	13895926605504600000	0.0046275203	522096627	1428	33.956	0.17	0.24	1866	0	0	0	0	0	0	0	0.18748083	0.565611592	0	0.775647788	0.898366717	NA	NA	NA
euphrosyne	main belt asteroid	1	NA	sun	50 50 50	50 50 50	256	iregular	12438311926605500000	0.0051698078	470934150	1427	18.033	0.19	0.28	1854	0	0	0	0	0	0	0	0.206415619	0.999966533	0	0.974372613	0.668699882	NA	NA	NA
eunomia	main belt asteroid	1	NA	sun	50 50 50	50 50 50	255	iregular	12389724770642200000	0.0051900815	395836010	1558	12.361	0.19	0.32	1851	0	0	0	0	0	0	0	0.258557414	0.97834827	0	0.170238309	0.304787382	NA	NA	NA
cybele	main belt asteroid	1	NA	sun	50 50 50	50 50 50	237	iregular	11515155963302800000	0.0055842649	514167939	1659	24.839	0.23	0.32	1861	0	0	0	0	0	0	0	0.239096202	0.848810567	0	0.019579302	0.564259057	NA	NA	NA
juno	main belt asteroid	1	NA	sun	50 50 50	50 50 50	236	iregular	11466568807339500000	0.0056079271	399127164	1476	25.471	0.14	0.30	1804	0	0	0	0	0	0	0	0.170161016	0.192422707	0	0.241950733	0.874818025	NA	NA	NA
psyche	main belt asteroid	1	NA	sun	50 50 50	50 50 50	230	iregular	11175045871559600000	0.0057542208	436676234	1395	17.567	0.12	0.31	1852	0	0	0	0	0	0	0	0.150578537	0.879137651	0	0.873105133	0.788627763	NA	NA	NA
bamberga	main belt asteroid	1	NA	sun	50 50 50	50 50 50	229	iregular	11126458715596300000	0.0057793484	401221534	1676	9.383	0.19	0.22	1892	0	0	0	0	0	0	0	0.210016206	0.091263116	0	0.292585118	0.069264409	NA	NA	NA
camilla	main belt asteroid	1	NA	sun	50 50 50	50 50 50	215	iregular	10446238532110100000	0.0061556781	520451051	1360	11.256	0.19	0.28	1868	0	0	0	0	0	0	0	0.13766103	0.05674647	0	0.520499244	0.999280169	NA	NA	NA
eugenia	main belt asteroid	1	NA	sun	50 50 50	50 50 50	213	iregular	10349064220183500000	0.0062134779	406906254	1422	34.202	0.10	0.24	1857	0	0	0	0	0	0	0	0.228707365	0.751028076	0	0.051746663	0.074756914	NA	NA	NA
hermione	main belt asteroid	1	NA	sun	50 50 50	50 50 50	158	iregular	7676770642201840000	0.0083763974	514467135	1453	23.731	0.10	0.24	1872	0	0	0	0	0	0	0	0.198387515	0.808139381	0	0.164600215	0.287813336	NA	NA	NA
baptistina	main belt asteroid	1	NA	sun	50 50 50	50 50 50	25	iregular	1214678899082570000	0.0529388317	338683000	1244	6.250	0.1	0.33	1890	0	0	0	0	0	0	0	0	0.86775507	0	0.001391425	0.301871488	NA	NA	NA
